Ýl Adý;Coðrafi Özellikler;Tarih ve Kültür;Doðal Güzellikler;Turistik Noktalar;Gastronomi;Alýþveriþ;Etkinlikler ve Festivaller
Erzincan;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Munzur Daðlarý, Kemaliye (Eðin) ilçesi, Kemaliye Karanlýk  Kanyon. | Ýklimi: Karasal iklim özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar:  Kemah Kalesi, Mama Hatun Kervansarayý, Sultan Melik Türbesi. | Müzeler: Erzincan Müzesi. | Kültürel Miraslar: Abrenk Kilisesi, Gülalibe Camii.;Milli Parklar: Dumanlý Tabiat Parký | Göller: Otlukbeli Gölü, Aygýr Gölü | Kanyonlar: Karanlýk Kanyon | Þelaleler: Çaðlayan Girlevik Þelalesi | Daðlar: Munzur Daðlarý;Kemaliye (Eðin): Tarihi ve doðal güzellikleriyle ünlü bir ilçedir. | Kemaliye Kanyonu: Munzur Vadisi'nin derinliklerinde bulunan muhteþem bir kanyon. | Girlevik Þelalesi: Doðal güzellikleri, bitki örtüsü, aðaçlarý, serin havasý ve dinlenme yerleriyle Erzincan' ýn en çok tercih edilen mesire yeridir.;Tulum Peyniri, Tava Leblebisi, Kahküllü Pilav, Erzincan Çorbasý, Kete;Çarþýlar: Erzincan Çarþýsý | Alýþveriþ Merkezleri: Erzincanpark AVM, Ermerkez AVM;Erzincan Doða ve Macera Festivali: Doða sporlarýný ve macera aktivitelerini tanýtmak amacýyla düzenlenen bir etkinlik. | Geleneksel Kayýsý-Erik Kültür ve Sanat Festivali: Þehrin önemli tarým ürünlerinden olan kayýsý ve eriðin tanýtýldýðý, yöresel kültür ve sanat etkinliklerinin düzenlendiði bir festivaldir.
Erzurum;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Palandöken Daðlarý, Tortum Þelalesi, Çoruh Nehri. | Ýklimi: Karasal iklim özellikleri gösterir, kýþlarý çok soðuk ve kar yaðýþlý, yazlarý ise genellikle serin geçer.;Önemli Tarihi Yapýlar: Çifte Minareli Medrese, Erzurum Kalesi, Lala Mustafa Paþa Camii, Bakýrcý Camii, Yakutiye Medresesi. | Müzeler: Atatürk Evi Müzesi, Erzurum Arkeoloji Müzesi, Türk-Ýslam Eserleri ve Etnografya Müzesi (Yakutiye Medresesi). | Kültürel Miraslar: Oltu Taþý Atölyeleri, Narman Peri Bacalarý, Tarihi Erzurum Evleri, Üç Kümbetler.;Milli Parklar: Ata Park Botanik Bahçesi. | Gölleri: Tortum Gölü, Narman Beþ Göller. | Daðlar: Palandöken Daðlarý,Mescit Daðý | Peri Bacalarý: Narman Peri Bacalarý | Þelaleler: Tortum Þelalesi;Palandöken Kayak Merkezi: Kýþ sporlarý için ünlü bir destinasyon. | Çifte Minareli Medrese: Selçuklu dönemi eseri olan tarihi yapý. | Tortum Þelalesi: Doðal güzellikleriyle dikkat çeken büyük bir þelale. | Üç Kümbetler: 12. yüzyýla tarihlenen üç tarihi yapýdan oluþan bir kültürel miras kompleksidir.;Aþotu Çorbasý, Cað Kebabý, Erzurum Kesme Çorba, Lor Dolmasý, Çiriþ, Çaþýr, Patatesli Borani,  Su Böreði, Erzurum Ketesi, Kadayýf Dolmasý, Gaysefe ;Alýþveriþ Merkezleri: MNG Alýþveriþ ve Yaþam Merkezi, Forum Erzurum, PALERÝUM AVM;
Eskiþehir;Konumu: Ýç Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Porsuk Çayý, Eskiþehir Ovasý, Sazova Parký. | Ýklimi: Ýç Anadolu iklimi özelliklerini taþýr, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Odunpazarý Evleri, Kurþunlu Camii, Seyitgazi Türbesi, Pessinus Antik Kenti. | Müzeler: Eti Arkeoloji Müzesi,  Lületaþý Müzesi. | Kültürel Miraslar: Sivrihisar Kervansarayý, Ballýhisar Kalesi, Nasrettin Hoca Evi.;Milli Parklar: Sazova Parký, Þelale Park, Çilek Park. | Çaylar: Porsuk Çayý, Balýkdamý Kuþ Cenneti | Þelaleler: Gürleyik Þelalesi, Avlakkaya Kanyonu ve Þelalesi | Maðaralar: Yelinüstü Maðarasý;Odunpazarý: Osmanlý döneminden kalan tarihi evler ve sokaklar. | Porsuk Çayý: Þehrin merkezinden geçen ve þehre güzellik katan bir nehir. | Eskiþehir Bilim, Sanat ve Kültür Parký (ESKÝPAZAR): Bilim ve sanat etkinlikleri için popüler bir mekan.;Çibörek, Balaban Köfte, Kýygaþa, Abýsta, Göbete, Být Být Çorbasý, Yufkalý Büryan, Kuzu Sorpa;Alýþveriþ Merkezleri: Espark Eskiþehir, Kanatlý AVM, ;Eskiþehir Lületaþý Kültür ve Sanat Festivali: Yörenin önemli kültürel mirasý olan lületaþýnýn tanýtýldýðý bir etkinlik. | Eskiþehir Kahve Festivali: Kahve kültürünü tanýtmayý, farklý kahve çeþitlerini deneyimlemeyi ve kahve tutkunlarýný bir araya getirmeyi amaçlayan bir etkinliktir. | Sivrihisar Dövme Sucuk Festivali: Sivrihisar'da geleneksel olarak düzenlenen ve yöresel lezzet olan dövme sucuðun üretimini, tarihini ve kültürünü tanýtmayý amaçlayan bir etkinliktir.
Gaziantep;Konumu: Güneydoðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Sof Daðlarý, Fýrat Nehri, Gaziantep Ovasý. | Ýklimi: Akdeniz iklimi etkisi görülür, kýþlarý ýlýman ve yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Dülük Antik Kenti, Gaziantep Kalesi, Zincirli Bedesten, Tahtani Camii, Rumkale, Bayazhan. | Müzeler: Gaziantep Arkeoloji Müzesi, Zeugma Mozaik Müzesi, Yesemek Açýk Hava Müzesi, Hasan Süzer Etnoðrafya Müzesi, Medusa Cam Müzesi. | Kültürel Miraslar: Zeugma Antik Kenti, Bakýrcýlar Çarþýsý, Dülük Mithras (Mitras) Tapýnaðý.;Milli Parklar: Dülükbaba Ormaný, Burç Tabiat Parký. | Gölleri: Alleben Göleti,Tahtaköprü Baraj Gölü. | Nehirler: Fýrat Nehri | Yaylalar: Sofdaðý Yaylasý, Hýzýr Yaylasý;Bakýrcýlar Çarþýsý: Bakýr iþlemeciliði ve yöresel el sanatlarýyla ünlü çarþý. | Zeugma Mozaik Müzesi: Antik kentte bulunan eþsiz mozaikleri sergileyen müze. | Gaziantep Hayvanat Bahçesi: Þehirdeki en popüler aile aktivitelerinden biri olan Gaziantep Hayvanat Bahçesi, birçok farklý hayvan türünü barýndýrýr.;Baklava, Malhýtalý (Mercimekli) Köfte, Yoðurtlu Ufak Köfte, Yaðlý Köfte, Ýç Katmasý (Kýsýr), Tene Katmasý, Haveydi Köftesi, Omaç, Sini Köftesi, Süzek Yapmasý, Caðýrtlak Kebabý, Ayva Kebabý, Elma Baklava, Kebabý, Lebeniye, Öz Çorbasý, Maþ Çorbasý, Þirinli Çorba, Beyran, Topaç, Köse Sefer Kabaðý Dolmasý, Loðlazlý Aþ, Çiðdem Aþý, Ekþili Daraklýk Tavasý, Beyran, Þiveydiz, Acur Oturtmasý, Kakýrdak Böreði, Loðlaz Piyazý, Yarpuz Piyazý, At Elmasý Turþusu, Çelem Turþusu ;Çarþýlar: Zincirli Bedesten, Almacý Pazarý, Bakýrcýlar Çarþýsý. | Alýþveriþ Merkezleri: Forum Gaziantep, Prime Mall, SankoPark AVM;Gaziantep Gastronomi Festivali: Yörenin zengin mutfaðýný ve lezzetlerini tanýtmak için düzenlenen bir festival. | Oðuzeli Nar ve Kültür Festivali: Festival, bölgenin yöresel kültürünü ve narýn önemini vurgulamak amacýyla düzenlenir. Genellikle Eylül veya Ekim aylarýnda gerçekleþtirilen festivalde, nar hasadý, nar ürünleri sergisi, yöresel müzik ve dans gösterileri, yarýþmalar, el sanatlarý sergileri gibi çeþitli etkinlikler yer alýr. 
Giresun;Konumu: Karadeniz Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Giresun Adasý, Kümbet Daðlarý, Tirebolu Kalesi. | Ýklimi: Karadeniz iklimi özellikleri gösterir, bol yaðýþlý ve ýlýmandýr.;Önemli Tarihi Yapýlar: Giresun Kalesi, Hacý Miktad Camii, Gogora Kilisesi, Bedrama Kalesi, Tirebolu Kalesi. | Müzeler: Giresun Müzesi, Meryem Ana Manastýrý. | Kültürel Miraslar: Seyyid Vakkas Türbesi, Meryem Ana Manastýrý.;Milli Parklar: Kümbet Yaylasý Milli Parký. |  Gölleri: Çakýrgöl, Sis Daðý Göleti, Mavi Göl. |  Daðlar: Kümbet Daðlarý, Sis Daðý, Karagöl Daðlarý. | Adalar: Giresun Adasý | Yaylalar: Kulakkaya Yaylasý, Bektaþ Yaylasý, Gölyaný Yaylasý, Paþakonaðý Yaylasý | Þelaleler: Kuzalan Þelalesi;Kümbet Yaylasý, Giresun'un doðal güzelliklerinden biridir ve ziyaretçilere çeþitli turistik aktiviteler sunar. | Mavi Göl: Kümbet Yaylasý civarýnda yer alan Mavi Göl, adýný berrak ve mavi tonlardaki suyundan alýr. Doðal güzelliði ve temiz havasýyla ziyaretçileri cezbeden bu göl, yayla turizminin önemli bir parçasýdýr. ;Hamsi Böreði, Çalý Çileði Çorbasý, Karalahana Diblesi, Fasulye Turþusu Kavurmasý, Görele Pidesi, Yaðlaþ, Mendek Çorbasý;Alýþveriþ Merkezleri: G-City Alýþveriþ Merkezi;Giresun Piraziz Fýndýk Festivali: Her yýl eylül ayýnda düzenlenen, yöresel fýndýk ürünlerini tanýtan bir festival. | Uluslaarasý Karadeniz Giresun Aksu Festivali: Her yýl Giresun'un Aksu Köyü'nde düzenlenen, yerel kültürün ve doðal güzelliklerin sergilendiði uluslararasý bir etkinliktir.
Gümüþhane;Konumu: Karadeniz Bölgesi'nin doðusunda, Doðu Karadeniz Bölümü'nde yer alýr. | Coðrafi Yapýlarý: Zigana Daðlarý, Torul Vadisi. | Ýklimi: Karadeniz iklimi özellikleri gösterir, bol yaðýþlý ve ýlýmandýr.;Önemli Tarihi Yapýlar: Kov Kalesi, Santa Antik Kenti, Torul Kalesi, Canca Kalesi. | Müzeler: Ýkizevler Etnografya Müzesi. | Kültürel Miraslar: Santa Harabeleri, Sarýçiçek Köy Odalarý, Ýmera Manastýrý, Kürtün Kalesi, Tomara Þelalesi.;Milli Parklar: Limni Gölü Tabiat Parký, Tomara Þelaleleri Tabiat Parký, Çaðlayandibi Þelalesi Tabiat Parký, Artabel Tabiat Parký. | Gölleri: Limni Gölü, Artabel Gölleri. | Daðlar: Zigana Daðlarý, Karaca Maðarasý | Þelaleler: Tomara Þelalesi, Çaðlayandibi Þelalesi | Maðaralar: Karaca Maðarasý;Karaca Maðarasý: Türkiye'nin en büyük ve en güzel maðaralarýndan biri olarak kabul edilir. | Çaðlayandibi Þelalesi Tabiat Parký: Gümüþhane'nin Torul ilçesinde bulunan ve muhteþem doðal güzelliði ile ziyaretçilerini etkileyen bir doðal cazibe merkezidir.;Köme, Lemis, Haþýl, Gendime Pilavý, Kartol Yahnisi, Fýtfýt Haþýlý, Pancar Kavurmasý, Siron, Asude Kuymaðý, Ayvalý Et Yemeði, Mantý Çorbasý, Un Herlesi Çorbasý, Eriþte tatlýsý, Muska Tatlýsý, Kara Helva, Fýþkýl Tatlýsý;Alýþveriþ Merkezleri: Güntaþ Avm, Metropol AVM;Gümüþhane Yayla Þenlikleri: Yaz aylarýnda yaylalarda düzenlenen geleneksel þenliklerdir, yöresel kültürü tanýtmak için bir fýrsattýr. | Uluslararasý Gümüþhane Kuþburnu Pestil Festivali, her yýl düzenlenen ve yöresel lezzet olan kuþburnu pestilinin üretimi ve kültürel öneminin vurgulandýðý bir etkinliktir.
Hakkâri;Konumu: Doðu Anadolu Bölgesi'nde yer alýr. | Coðrafi Yapýlarý: Cilo Daðlarý, Çimen Daðý, Karacadaðý, Beyazdað . | Ýklimi: Karasal iklim özellikleri gösterir, kýþlarý soðuk ve kar yaðýþlý, yazlarý sýcak ve kurak geçer.;Önemli Tarihi Yapýlar: Kelat Sarayý, Taþ Köprü, Kayme Sarayý. | Müzeler: Hakkâri Kaledibi Buluntularý (Hakkâri Stelleri), Hakkari Kilim Müzesi. | Kültürel Miraslar: Zeynel Bey Medresesi, Hoþap Kalesi, Dirheler (Dev Evleri), Melik Esed Mezarlýðý.;Milli Parklar: Cilo ve Sat Daðlarý Milli Parký. | Vadiler: Cennet – Cehennem Vadisi, Zap Vadisi Gölleri:Seyithan Gölü | Yaylalar: Durankaya Yaylasý, Berçelan Yaylasý Daðlar: Cilo Daðlarý, Mor Daðý, Sat Daðý, Sümbül Daðý. | Þelaleler: Ava Ore Þelalesi, Sineber Þelalesi;Sat Gölü: Doðal güzelliði ile ziyaretçilerin ilgisini çeken bir göldür. | Beyaz Þelale: Hakkari'nin Çukurca ilçesinde bulunan ve berrak suyuyla doðal güzelliðiyle dikkat çeken bir þelaledir.;Gulul çorbasý, Kepaye, Kiflik, Parmak Kebabý, Yüksekova Kebabý, Sengeser, Corti Aþý, Doleme;Alýþveriþ Merkezleri: Adres AVM;"Cilo Fest: Rafting, kano, bisiklet yarýþý, doða yürüyüþü, yamaç paraþütü, týrmanýþ, kayak, snowboard ve flyboard gibi etkinliklerin yapýldýðý festivale katýlanlar, bölgenin eþsiz manzarasýnda doðayla iç içe zaman geçirme fýrsatý buluyor. | Kar Festivali: Festivalde; kýzak yarýþmasý, kayak ayakkabýsý ile koþu yarýþmasý, hedikle yürüme yarýþý, kar güreþi, kar voleybolu, kar raftingi, snowboard gösterisi, trekking, resim sergisi, dart, matrak oyunu ile canlý müzik þöleni gibi etkinlikler düzenleniyor."
Hatay;Konumu: Akdeniz Bölgesi'nin doðusunda, Türkiye'nin güneyinde yer alýr. | Coðrafi Yapýlarý: Amanos Daðlarý, Asi Nehri, Hatay Ovasý. | Ýklimi: Akdeniz iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýk ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: St. Pierre Kilisesi, Sokullu Mehmet Paþa Külliyesi, Bakras Kalesi, Kozkalesi, Hatay Ulu Camii,  Vakýflý Köyü, Habib-i Neccar Camii. | Müzeler: Hatay Arkeoloji Müzesi, Necmi Asfuroðlu Arkeoloji Müzesi, Hatay Þehir Müzesi, St. Pierre Anýt Müzesi | Kültürel Miraslar:  Ýssos Antik Kenti, Antakya Sinagogu, Aziz Simeon Manastýrý.;Milli Parklar: Belen Geçidi Tabiat Parký. | Nehirler: Asi Nehri | Maðaralar: Damlataþ Maðarasý, Sarýseki Kanyonu ve Maðarasý | Þelaleler: Harbiye Þelaleleri, Sincan Þelalesi | Yaylalar: Soðukoluk Yaylasý, Batýayaz Yaylasý | Gölleri: Erzin Göleti | Daðlar: Amanos Daðlarý, Nur Daðlarý.;St. Pierre Kilisesi: Hristiyanlýðýn ilk kiliselerinden biri olarak bilinir, tarihi önemi büyüktür. | Habib-i Neccar Camisi:  Hz. Ýsa'nýn havarisi Habib-i Neccar'ýn mezarýnýn bulunduðu rivayet edilen bu cami, Ýslam öncesi dönemden kalma önemli bir tarihi yapýdýr. Antakya'nýn en eski camilerinden biri olan Habib-i Neccar Camii, ziyaretçilerin ilgisini çeken dini ve tarihi bir mekandýr. | Beþikli Maðara: Hz. Ýsa'nýn havarisi St. Peter'in Antakya'ya gelerek Hristiyanlýðý yaydýðýna inanýlan yer olarak bilinir.;Kaytaz Böreði, Taþ Kadayýf, Kuþ Gözü, Humus, Biberli Ekmek, Hatay Kaðýt Kebabý, Tepsi Kebabý, Hatay Aþþur, Oruk (Hatay Ýçli Köfte), Sürk Peyniri,Belen Tava, Hatay Usulü Döner, Þeyh Mualla;Çarþýlar: Antakya Çarþýsý | Alýþveriþ Merkezleri: Ýskenderun Park Forbes AVM, Primemall AVM, Hilton Otel AVM;Geleneksel Satranç Turnuvasý: Hatay'ýn çeþitli yerlerinden satranç tutkunlarýný bir araya getirerek düzenlenen ve geleneksel bir etkinliktir. | Dünya Aba Güreþi Þampiyonasý: Geleneksel Türk sporlarýndan biri olan aba güreþini dünya çapýnda tanýtmak ve yaygýnlaþtýrmak amacýyla düzenlenen uluslararasý bir organizasyondur.
Isparta;Konumu: Akdeniz Bölgesi'nde, Göller Bölgesi içerisinde yer alýr. | Coðrafi Yapýlarý: Davraz Daðý, Eðirdir Gölü, Kovada Gölü. | Ýklimi: Akdeniz iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýman ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Eðirdir Kalesi, Davraz Kayak Merkezi, Ertokuþ Medresesi, Firdevs Bey Cami. | Müzeler: Süleyman Demirel Müzesi, Isparta Müzesi, Prof. Dr. Turan Yazgan Halý ve Kilim Müzesi. | Kültürel Miraslar: Adada Antik Kenti, Ertokuþ Kervansarayý, Pisidia Antiokheia Antik Kenti.;Milli Parklar: Kovada Gölü Milli Parký, Yazýlý Kanyon Milli Parký, Gölcük Tabiat Parký, Kýzýldað Milli Parký. | Gölleri: Eðirdir Gölü, Kovada Gölü. | Daðlar: Dedegöl Daðý, Davraz Daðý. | Maðaralar: Pýnargözü Maðarasý, Zindan Maðarasý;Davraz Kayak Merkezi: Kýþ sporlarý için popüler bir destinasyon. | Eðirdir Gölü: Büyüleyici manzarasý ve doðal güzelliði ile ziyaretçilerin ilgisini çeken bir göl. | Pisidia Antik Kenti: Tarihi ve arkeolojik öneme sahip bir antik kent.;Kabine Yemeði, Kuyruðu Sulu, Tandýr Kebabý, Banak, Bakla Borani, Þalgam Aþý, Sazan Dolmasý, Yatýrtma;Alýþveriþ Merkezleri: Centrum Garden AVM, Isparta Meydan AVM;Isparta Gül Festivali: Her yýl düzenlenen ulusal ve uluslararasý katýlýmlý bir festival, gülün þehirdeki önemini kutlar. | Psidia Antiokheia Kültür Turizm Ve Sanat Festivali: Isparta'nýn Yalvaç ilçesinde düzenlenen ve antik kent Psidia Antiokheia'nýn kültürel mirasýný tanýtmayý, turizmi teþvik etmeyi ve sanatsal etkinliklere ev sahipliði yapmayý amaçlayan bir etkinliktir.
Mersin;Konumu: Akdeniz Bölgesi'nde, Doðu Akdeniz sahilinde yer alýr. | Coðrafi Yapýlarý: Toros Daðlarý, Mersin Limaný, Berdan Çayý. | Ýklimi: Akdeniz iklimi özellikleri gösterir, yazlarý sýcak ve kurak, kýþlarý ýlýman ve yaðýþlýdýr.;Önemli Tarihi Yapýlar: Kýzkalesi, Silifke Kalesi, Korykos Antik Kenti, Anamur Kalesi, Soli Antik Kenti.  | Müzeler: Mersin Arkeoloji Müzesi, Atatürk Evi Müzesi, Mersin Deniz Müzesi. |  Kültürel Miraslar: Tarsus Þelalesi, Yumuktepe Höyüðü, Adamkayalar, Kanlýdivane, Eshab-ý Kehf (Yedi Uyurlar).;Milli Parklar: Çocakdere Milli Parký, Gülnar-Göksu Deltasý Milli Parký | Koylar: Narlýkuyu, Yapraklý Koy, Boðsak Koyu | Þelaleler: Yerköprü Þelalesi, Tarsus Þelalesi | Daðlar: Toros Daðlarý.;Kýzkalesi: Mersin'in sembolik yapýlarýndan biri olan Kýzkalesi, turistlerin ilgisini çeken bir tarihi yapýdýr. | Adamkayalar: Hitit dönemine ait kabartmalarýyla ünlü doðal bir alan olan Adamkayalar, ziyaretçiler için popüler bir turistik noktadýr. | Anamur Sahili: Mersin'in güzel plajlarýndan biri olan Anamur Sahili, deniz turizmi için ideal bir destinasyondur. | Tarsus Þelalesi: Doðal güzellikleriyle ünlü, piknik alanlarý ve yürüyüþ parkurlarý mevcut. ;Cezerye, Tantuni, Kerebiç, Yüksük Çorbasý, Batýrýk, Sýkma, Tarsus Þalgam Suyu ;Alýþveriþ Merkezleri: Forum Mersin AVM, Palmcity AVM, Sayapark AVM;Çamlýyayla Ýðne Oyasý Festivali: Geleneksel Türk el sanatlarýndan olan iðne oyasýnýn sergilendiði, el sanatlarý ustalarýnýn bir araya geldiði renkli bir etkinliktir. | Mersin Narenciye Festivali:  Mersin'in ünlü narenciye ürünlerini kutlamak ve tanýtmak amacýyla düzenlenen renkli bir etkinliktir, genellikle narenciye hasat zamanýnda gerçekleþtirilir.
Ýstanbul;Konumu: Marmara Bölgesi'nde, Boðaziçi ve Marmara Denizi arasýnda yer alýr. | Coðrafi Yapýlarý: Boðaziçi Köprüsü, Galata Kulesi, Adalar. | Ýklimi: Karasal ve Akdeniz iklimi özelliklerini bir arada taþýr, kýþlarý soðuk ve yaðýþlý, yazlarý sýcak ve nemlidir.;Önemli Tarihi Yapýlar: Ayasofya, Topkapý Sarayý, Sultanahmet Camii, Süleymaniye Camii, Kapalý Çarþý, Bozdoðan Su Kemeri, Rumeli Hisarý, Anadolu Hisarý, Yedikule Zindanlarý, Dolmabahçe Sarayý, Eyüp Sultan Camii, Nuruosmaniye Camii, Eminönü Yeni Cami. | Müzeler: Ýstanbul Arkeoloji Müzeleri, Türk ve Ýslam Eserleri Müzesi, Büyük Saray Mozaikleri Müzesi, Topkapý Sarayý Müzesi, Ýstanbul Modern, Ýstanbul Havalimaný Müzesi, Hafýza 15 Temmuz, Sakýp Sabancý Müzesi,  Ýstanbul Oyuncak Müzesi, Rahmi M. Koç Müzesi, Pera Müzesi, Türkiye Ýþ Bankasý Müzesi, Masumiyet Müzesi, Miniatürk. | Kültürel Miraslar: Galata Kulesi, Kýz Kulesi, Yerebatan Sarnýcý, Cemberlitaþ, Galata Kulesi, Alman Çeþmesi, Aya Yorgi Manastýrý, Fener Rum Patrikhanesi.;Milli Parklar:  Gülhane Parký, Belgrad Ormaný, Emirgan Korusu, Yýldýz Korusu, Maçka Parký, Atatürk Arboretumu, Polonezköy Tabiat Parký. | Adalar: Büyükada, Heybeliada, Burgazada, Kýnalýada | Gölleri: Küçükçekmece Gölü, Büyükçekmece Gölü, Terkos, Kâmil Abduþ Gölü, Durusu Gölü. | Þelaleler: Deðirmençayýrý Þelalesi, Hacýllý Þelalesi | Denizler: Marmara Denizi, Karadeniz.;Boðaziçi: Tarihi yalýlarý, köprüleri ve muhteþem manzarasýyla ünlü, þehrin sembolik bölgelerinden biri. | Sultanahmet Meydaný: Tarihi yapýlarý, çeþmeleri ve anýtlarýyla ünlü, Ýstanbul'un turistik merkezlerinden biri. | Galata Kulesi: Tarihi bir kule olup, þehrin panoramik manzarasýný izlemek için popüler bir noktadýr. | Ayasofya: Bizans Ýmparatoru I. Justinianus tarafýndan 6. yüzyýlda inþa edilen, daha sonra Osmanlý döneminde camiye dönüþtürülen ve günümüzde müze olarak hizmet veren önemli bir mimari yapýdýr. | Topkapý Sarayý: Osmanlý Ýmparatorluðu'nun uzun yýllar boyunca hüküm sürdüðü bu saray, muhteþem bahçeleri, görkemli odalarý ve nadir eserleriyle ziyaretçilerini büyüler. | Kapalý Çarþý (Grand Bazaar): Dünyanýn en eski ve en büyük kapalý çarþýlarýndan biri olan büyüleyici bir alýþveriþ merkezidir, binlerce dükkanýyla ziyaretçilere eþsiz bir alýþveriþ deneyimi sunar. | Yerebatan Sarnýcý: Bizans döneminde su depolamak için inþa edilen, þaþýrtýcý mimarisi ve atmosferiyle ziyaretçilerini büyüleyen tarihi bir su sarnýcýdýr. | Rumeli Hisarý: Ýstanbul Boðazý'nýn Avrupa Yakasý'nda bulunan ve Fatih Sultan Mehmed'in Ýstanbul'u fethi öncesinde Bizans Ýmparatoru II. Mehmed tarafýndan inþa ettirilen, Boðaz'ýn stratejik kontrolünü saðlayan tarihi bir kaledir. | Dolmabahçe Sarayý: Osmanlý Ýmparatorluðu'nun son dönemlerinde kullanýlan, Avrupa tarzý mimarisi ve muhteþem iç dekorasyonuyla dikkat çeken tarihi bir saraydýr. | Sultanahmet Camii: Osmanlý Ýmparatoru I. Ahmet tarafýndan 17. yüzyýlda inþa ettirilen, altý minaresi ve muhteþem iç dekorasyonuyla ünlü tarihi bir camidir. | Çamlýca Tepesi: Ýstanbul'un Anadolu ve Avrupa yakalarýný gören muhteþem manzarasýyla ünlü, þehrin en yüksek noktalarýndan biridir ve ziyaretçilere dinlenme ve piknik yapma imkaný sunar.;Kanlýca Yoðurdu, Sultanahmet Köftesi, Beyinli Beykoz Kebabý, Balýk-Ekmek, Islak Hamburger, Kuru Fasulye, Sarýyer Böreði, Kumpir, Midye Dolma, Uykuluk, Beyoðlu Çikolatasý, Kokoreç.;Çarþýlar: Kapalý Çarþý, Mýsýr Çarþýsý | Alýþveriþ Merkezleri: Ýstinye Park, Zorlu Center, Kanyon, Ýstanbul Cevahir AVM, Forum Ýstanbul AVM, Mall of Istanbul, Aqua Florya AVM, Venezia Mega Outlet, Emaar Square.;Ýstanbul Bienali: Her iki yýlda bir düzenlenen uluslararasý bienal, çaðdaþ sanat eserlerini sergiler ve sanatseverleri bir araya getirir. | Ýstanbul Uluslararasý Film Festivali: Her yýl düzenlenen ve dünya sinemasýnýn en yeni ve ilgi çekici örneklerini Ýstanbullularla buluþturan uluslararasý bir film festivalidir. | Ýstanbul Kitap Fuarý: Yayýnevlerini, yazarlarý ve okurlarý bir araya getiren büyük bir kitap fuarýdýr. 
